merch_fmb_desc,category,n
branded sportswear,bras,9
branded sportswear,leggings,8
branded sportswear,swimsuits,6
branded sportswear,tankini_tops,4
branded sportswear,womens_bags,25
branded sportswear,womens_coats,169
branded sportswear,womens_gilets,12
branded sportswear,womens_hoodies,83
branded sportswear,womens_jackets_and_blazers,88
branded sportswear,womens_jumpers,2
branded sportswear,womens_performance_jackets,49
branded sportswear,womens_performance_trousers,61
branded sportswear,womens_shirts,12
branded sportswear,womens_shorts,2
branded sportswear,womens_sports_fleeces,25
branded sportswear,womens_sports_jackets,151
branded sportswear,womens_sports_leggings,207
branded sportswear,womens_sports_polos,1
branded sportswear,womens_sports_shorts,18
branded sportswear,womens_sports_sweatshirts,150
branded sportswear,womens_sports_t-shirts,442
branded sportswear,womens_sports_vests,119
branded sportswear,womens_sweatshirts,11
branded sportswear,womens_t-shirts,54
branded sportswear,womens_track_pants,229
branded sportswear,womens_track_tops,20
branded sportswear,womens_tunics,3
branded sportswear,womens_vests,5
footwear,womens_scarves,7
home and gifts,mens_gilets,1
home and gifts,mens_hoodies,2
home and gifts,womens_hoodies,5
lingerie,beach_cover_ups,138
lingerie,beach_dresses,29
lingerie,beach_skirts,9
lingerie,bikini_&_tankini_bottoms,42
lingerie,bikini_bottoms,566
lingerie,bikini_sets,56
lingerie,bikini_tops,542
lingerie,blouson_tankinis,35
lingerie,bras,260
lingerie,control_camis,5
lingerie,dresses,62
lingerie,kimonos,11
lingerie,leggings,12
lingerie,swimdresses,98
lingerie,swimming_costumes,11
lingerie,swimsuits,590
lingerie,tankini_bottoms,21
lingerie,tankini_sets,10
lingerie,tankini_tops,141
lingerie,womens_jumpsuits,12
lingerie,womens_sports_leggings,8
lingerie,womens_sports_vests,4
lingerie,womens_vests,7
menswear,womens_cardigans,1
menswear,womens_jumpers,1
womenswear,beach_cover_ups,10
womenswear,beach_dresses,1
womenswear,bracelets,35
womenswear,breathing_aids,1
womenswear,brooches,2
womenswear,camisoles,1
womenswear,cds,4
womenswear,dresses,12738
womenswear,earrings,207
womenswear,fascinators,4
womenswear,gno_onexc_coats_and_jackets,2
womenswear,gno_onexc_dresses,4
womenswear,gno_onexc_knitwear,1
womenswear,gno_onexc_skirts,2
womenswear,gno_onexc_tops,3
womenswear,gno_onexc_trousers_jeans,1
womenswear,heaters,1
womenswear,homeotherapy,1
womenswear,jeggings,218
womenswear,kimonos,285
womenswear,leggings,330
womenswear,maternity_dresses,16
womenswear,maternity_jeans,10
womenswear,maternity_tops,13
womenswear,maternity_trousers,16
womenswear,mattress_toppers,1
womenswear,mens_boots,1
womenswear,mens_jumpers,1
womenswear,mens_sandals,1
womenswear,mens_shirts,1
womenswear,mens_shoes,8
womenswear,mens_t-shirts,5
womenswear,mens_trainers,7
womenswear,mobile_phone_cases,1
womenswear,necklaces,135
womenswear,nighties,1
womenswear,pain_relief,1
womenswear,pendants,8
womenswear,purses,41
womenswear,puzzles,2
womenswear,rings,54
womenswear,shawls,2
womenswear,skirt_suits,8
womenswear,skirts,2455
womenswear,stores_only_product,3
womenswear,test_outlet,3
womenswear,toasters,1
womenswear,toys,3
womenswear,treggings,4
womenswear,true_blue,2
womenswear,tunic_dresses,215
womenswear,unique_gifts,3
womenswear,womens_bags,157
womenswear,womens_belts,2
womenswear,womens_blouses,6321
womenswear,womens_bodysuits,36
womenswear,womens_boots,2
womenswear,womens_briefs,1
womenswear,womens_cardigans,1532
womenswear,womens_coats,1004
womenswear,womens_gilets,54
womenswear,womens_hats,2
womenswear,womens_hoodies,21
womenswear,womens_jackets_and_blazers,2599
womenswear,womens_jeans,2167
womenswear,womens_jersey_tops,5330
womenswear,womens_jumpers,2129
womenswear,womens_jumpsuits,576
womenswear,womens_performance_jackets,1
womenswear,womens_polo_shirts,6
womenswear,womens_ponchos,35
womenswear,womens_sandals,3
womenswear,womens_scarves,11
womenswear,womens_shirts,679
womenswear,womens_shoes,1
womenswear,womens_shorts,612
womenswear,womens_shrugs,181
womenswear,womens_soft_jacket_blouses,13
womenswear,womens_sports_jackets,1
womenswear,womens_suit_jackets,322
womenswear,womens_suit_skirts,13
womenswear,womens_suit_trousers,44
womenswear,womens_sunglasses,12
womenswear,womens_sweatshirts,155
womenswear,womens_t-shirts,1267
womenswear,womens_tank_tops,3
womenswear,womens_track_tops,2
womenswear,womens_trouser_suits,32
womenswear,womens_trousers,3578
womenswear,womens_tunics,2347
womenswear,womens_twinsets,3
womenswear,womens_vests,860
womenswear,womens_waistcoats,14
